Train_Size_Pct,BERT_F1,TF-IDF_F1,BERT + PCA_F1,TF-IDF + PCA_F1
0.1,0.8204810335545295,0.8151441697965026,0.809792803457599,0.8223147297611219
0.2,0.7802166427260129,0.818859721683365,0.7582671054974048,0.7941970025465441
0.30000000000000004,0.7902200554804881,0.8250216914273416,0.7635196711155666,0.7825268585872898
0.4,0.7630620946814126,0.8066019523606404,0.7339835085536187,0.7539680530074641
0.5,0.7608204753240434,0.7912953816589061,0.7001858305289447,0.7446823532772189
0.6,0.7573271716736304,0.7874618756240712,0.7097294746304061,0.7384197044068388
0.7000000000000001,0.7634276321241686,0.7839169643474194,0.707234745749055,0.7109592849102637
0.8,0.767298108733139,0.7773970406479893,0.7228310680154796,0.698946891437918
0.9,0.7611446948148203,0.7897714386514308,0.7215543554433368,0.6780229176180738
1.0,0.7606810390657941,0.7810943842644293,0.7229173655698748,0.6591883738454285
